channel,date,color
NBC,2013_08_23,Yellow
NBC,2013_08_23,Yellow
NBC,2013_08_23,Green
NBC,2013_08_23,Green
NBC,2013_08_23,Yellow
NBC,2013_08_23,Yellow
NBC,2013_08_23,Green
NBC,2013_08_23,Yellow
NBC,2013_08_23,Green
NBC,2013_08_23,Green
NBC,2013_08_23,Green
NBC,2013_08_23,Green
NBC,2013_08_23,Green
NBC,2013_08_23,Yellow
NBC,2013_08_23,Green
NBC,2013_08_23,Green
NBC,2013_08_23,Green
NBC,2013_08_23,Green
NBC,2013_08_23,Green
NBC,2013_08_23,Green
NBC,2013_08_23,Green
ABC,2013_08_26,Green
ABC,2013_08_26,Green
ABC,2013_08_26,Green
ABC,2013_08_26,Yellow
ABC,2013_08_26,Green
ABC,2013_08_26,Yellow
ABC,2013_08_26,Green
ABC,2013_08_26,Green
ABC,2013_08_26,Green
ABC,2013_08_26,Yellow
ABC,2013_08_26,Green
ABC,2013_08_26,Green
ABC,2013_08_26,Yellow
ABC,2013_08_26,Yellow
ABC,2013_08_26,Yellow
ABC,2013_08_26,Green
ABC,2013_08_26,Yellow
ABC,2013_08_26,Yellow
ABC,2013_08_26,Green
ABC,2013_08_26,Green
ABC,2013_08_26,Yellow
ABC,2013_08_26,Green
ABC,2013_08_26,Yellow
ABC,2013_08_26,Green
ABC,2013_08_26,Green
ABC,2013_08_26,Yellow
ABC,2013_08_26,Green
ABC,2013_08_26,Green
ABC,2013_08_26,Yellow
ABC,2013_08_26,Yellow
ABC,2013_08_26,Green
ABC,2013_08_26,Green
ABC,2013_08_28,Yellow
ABC,2013_08_28,Green
ABC,2013_08_28,Green
ABC,2013_08_28,Yellow
ABC,2013_08_28,Yellow
ABC,2013_08_28,Yellow
ABC,2013_08_28,Green
ABC,2013_08_28,Yellow
ABC,2013_08_28,Green
ABC,2013_08_28,Green
ABC,2013_08_28,Yellow
ABC,2013_08_28,Green
ABC,2013_08_28,Yellow
ABC,2013_08_28,Yellow
ABC,2013_08_28,Green
ABC,2013_08_28,Green
ABC,2013_08_28,Green
ABC,2013_08_28,Green
ABC,2013_08_28,Yellow
ABC,2013_08_28,Green
ABC,2013_08_28,Green
ABC,2013_08_28,Green
ABC,2013_08_28,Green
ABC,2013_08_28,Yellow
ABC,2013_08_28,Green
ABC,2013_08_28,Green
ABC,2013_08_28,Yellow
ABC,2013_08_28,Green
ABC,2013_08_28,Yellow
ABC,2013_08_28,Yellow
ABC,2013_08_28,Yellow
ABC,2013_08_28,Yellow
ABC,2013_08_28,Green
ABC,2013_08_28,Green
ABC,2013_08_28,Yellow
ABC,2013_08_28,Yellow
ABC,2013_08_28,Yellow
ABC,2013_08_28,Yellow
ABC,2013_08_28,Yellow
ABC,2013_08_28,Yellow
ABC,2013_08_28,Yellow
ABC,2013_08_28,Yellow
ABC,2013_08_28,Yellow
