NBC_2017_04_05.txt/AN0UPUNF1MCKP, Female, 42, KY, 7, Yes, Independent

NBC_2017_04_05.txt/A33XZFIZU249JA, Male, 29, NY, 4, Yes, Green

NBC_2017_04_06.txt/A2OD4LJKPZDL2J, Male, 25, NY, 6, Yes, Democratic

NBC_2017_04_06.txt/A2AUMGW4F3G1OF, Female, 30, GA, 2, Yes, Democratic

NBC_2017_04_06.txt/A26SF9CTNKKBYB, Male, 32, default, 4, Yes, Democratic

NBC_2017_04_06.txt/A1NPSBHME4MVX4, Male, 47, MA, 5, Yes, Democratic

NBC_2017_04_06.txt/A1R3467NN29IFS, Female, 25, AL, 0, Yes, Independent

NBC_2017_04_07.txt/A2OD4LJKPZDL2J, Male, 25, CA, 5, Yes, Democratic

NBC_2017_04_07.txt/A25G84GLZMW4L1, Male, 21, NY, default, No, Democratic

NBC_2017_04_07.txt/AP1G770YBECF8, Male, 33, KY, 7, Yes, Democratic

NBC_2017_04_07.txt/AMIX5O7BDFVAO, Male, 44, WI, 7, Yes, Republican

NBC_2017_04_07.txt/A15340BRCER2UO, Male, 38, OH, 5, Yes, Independent

NBC_2017_04_08.txt/A3BJCXAV83TX8O, Male, 38, AK, 7, No, Independent

NBC_2017_04_08.txt/A1Y2N49VMVJ7C6, Female, 22, IN, 2, Yes, Republican

NBC_2017_04_08.txt/A39NNEOC3WAPQR, Female, 26, TN, 7, Yes, Republican

NBC_2017_04_08.txt/APDMDOK5NEBYV, Female, 44, IL, 5, Yes, Republican

NBC_2017_04_08.txt/A3NFCTOOB2D1ZS, Male, 65, FL, 0, Yes, Independent

NBC_2017_04_09.txt/AYVECZ3EZHW1O, default, default, default, default, default, default

NBC_2017_04_09.txt/A1K8D3H6T1B2C8, Male, 24, CA, 4, Yes, Democratic

NBC_2017_04_09.txt/A3C7HDRFUAA3IJ, Female, 24, FL, 7, Yes, Democratic

NBC_2017_04_09.txt/A1N1F009NU2GF7, Female, 34, MS, 5, Yes, Independent

NBC_2017_04_09.txt/A3F7GUAEGUGAW1, Male, 25, IN, 3, Yes, Democratic

NBC_2017_04_10.txt/A2OD4LJKPZDL2J, Male, 26, HI, 5, Yes, Democratic

NBC_2017_04_10.txt/A1YX741QQSMKPS, Male, 60, OH, 5, Yes, Democratic

NBC_2017_04_10.txt/A26T6O5EFR54A9, Female, 49, IL, 1, Yes, Democratic

NBC_2017_04_10.txt/A2SEL33SEOGT20, Male, 32, PA, 0, Yes, Democratic

NBC_2017_04_10.txt/A3F7GUAEGUGAW1, Male, 25, IN, 4, Yes, Democratic

NBC_2017_05_13.txt/AA9AE9ID11LJY, Female, 32, UT, 0, Yes, Independent

NBC_2017_05_13.txt/A2B6PP2KXD19N6, Male, 29, MS, 0, Yes, Independent

NBC_2017_05_13.txt/AYVECZ3EZHW1O, Female, 34, PA, 4, Yes, Liberterian

NBC_2017_05_13.txt/A1CRE2Z623JZ6V, Male, default, WY, 7, Yes, Independent

NBC_2017_05_13.txt/A2DVZVTZOCUUB, Male, 39, TX, 4, Yes, Democratic

NBC_2017_05_16.txt/A2HZID2S9IVQ9G, Female, 57, default, 5, Yes, Republican

NBC_2017_05_16.txt/A2SEL33SEOGT20, Male, 32, PA, 0, Yes, Democratic

NBC_2017_05_16.txt/A2ET1M9UUKJ9KB, Female, 25, CT, 1, Yes, Independent

NBC_2017_05_16.txt/A35RH96H2C01DY, Male, 27, KS, 5, Yes, Democratic

NBC_2017_05_16.txt/AYJ21KR003B23, Female, 53, MO, 2, Yes, Democratic

NBC_2017_09_21.txt/ALDKDKRBR4LXD, Male, 40, VA, 2, Yes, Liberterian

NBC_2017_09_21.txt/A3OZSYUHMCKTPW, Female, 66, KY, 7, Yes, Democratic

NBC_2017_09_21.txt/A10L328WZRZT3J, Male, 20, CA, 6, Yes, Democratic

NBC_2017_09_21.txt/A168K6C94T7S0A, Female, 27, NE, 0, Yes, Democratic

NBC_2017_09_21.txt/A3F7GUAEGUGAW1, Male, 25, IN, 3, Yes, Democratic

NBC_2017_09_23.txt/A38OVWILIUQNXR, Female, 30, FL, 5, Yes, Green

NBC_2017_09_23.txt/A31UVMRUFGGJ12, Female, 24, IN, 3, Yes, Green

NBC_2017_09_23.txt/A3O8F3194SOXNL, Male, 28, NC, 1, Yes, Independent

NBC_2017_09_23.txt/AOCEVYLDLW4O8, Female, 66, IL, 4, Yes, Independent

NBC_2017_09_23.txt/AZB7FTHK3OEYB, Male, 24, AL, 7, Yes, Republican

NBC_2017_09_24.txt/AMA18W8F60Y2J, default, 49, FL, 3, Yes, Democratic

NBC_2017_09_24.txt/A33XZFIZU249JA, Male, 29, NY, 4, Yes, Green

NBC_2017_09_24.txt/A02785981Z0J31YV173X0, Male, 42, IL, 5, Yes, Independent

NBC_2017_09_24.txt/AYVECZ3EZHW1O, default, default, default, default, default, default

NBC_2017_09_24.txt/A161R7U61GXNFC, Male, 30, IN, 4, Yes, Independent

NBC_2017_09_26.txt/A2ZX7580NVWA6I, Female, 40, MI, 5, Yes, Democratic

NBC_2017_09_26.txt/ANSU8XSIM0DIG, Female, 56, KY, 5, Yes, Democratic

NBC_2017_09_26.txt/A2CJ7JLH0HYCH3, Female, 52, AZ, 3, Yes, Liberterian

NBC_2017_09_26.txt/A2RJ6LLZGYIUZS, Male, 59, VT, 7, Yes, Independent

NBC_2017_09_26.txt/A3VPD34C23PQTQ, Male, 33, TX, 4, Yes, Republican

NBC_2017_10_03.txt/A1TQ7UQSSQP7BD, Male, 25, IN, 4, Yes, Republican

NBC_2017_10_03.txt/A33XZFIZU249JA, Male, 29, NY, 4, Yes, Green

NBC_2017_10_03.txt/A3U6772SP0NAPJ, Male, 35, IN, 2, Yes, Independent

NBC_2017_10_03.txt/AKF4J5GAHIA0D, Male, 27, NY, 3, Yes, Republican

NBC_2017_10_03.txt/A3F7GUAEGUGAW1, Male, 25, IN, 3, Yes, Democratic

NBC_2017_10_04.txt/A6NN7XDLH3RON, Female, 24, IN, 1, Yes, Independent

NBC_2017_10_04.txt/A3UYHP1IKCNN7K, Male, 40, AZ, 2, Yes, Independent

NBC_2017_10_04.txt/A9N9Y3H7FCWEF, Male, 30, NY, 1, Yes, Independent

NBC_2017_10_04.txt/A3F7GUAEGUGAW1, Male, 25, IN, 3, Yes, Democratic

NBC_2017_10_04.txt/A29V2XPA9H2NAN, Female, 30, OH, 5, No, Independent

NBC_2017_10_05.txt/A2V64IVUUIFL68, Female, 31, FL, 4, Yes, Republican

NBC_2017_10_05.txt/A2JO52BHJMCRD8, Male, 27, AK, 5, Yes, Democratic

NBC_2017_10_05.txt/A3F7GUAEGUGAW1, Male, 25, IN, default, Yes, Democratic

NBC_2017_10_05.txt/A2P0T88FJMZXUM, Male, 36, TX, 4, Yes, Independent

NBC_2017_10_05.txt/ABL3H3O3BI8ZD, Male, 27, NY, 2, Yes, Republican

NBC_2017_10_06.txt/AMA18W8F60Y2J, Female, 49, FL, 3, Yes, Democratic

NBC_2017_10_06.txt/A3363WDRUW4H1M, Female, 23, FL, 2, Yes, Democratic

NBC_2017_10_06.txt/A15P5OMPCDYGUE, Female, 21, AZ, 2, Yes, Democratic

NBC_2017_10_06.txt/A2W8XV3TQEJK7G, Male, 51, GA, 1, Yes, Republican

NBC_2017_10_06.txt/AYVECZ3EZHW1O, Female, 34, PA, 4, Yes, Liberterian

NBC_2017_10_07.txt/A1C8FN01981A69, Male, 36, MO, 5, Yes, Independent

NBC_2017_10_07.txt/A3BJCXAV83TX8O, Male, 38, AK, 7, No, Independent

NBC_2017_10_07.txt/A3HKZTDVORNEZ, Female, 24, IN, 4, Yes, Independent

NBC_2017_10_07.txt/A3ST4JGLAGZG3A, Female, 26, GA, 3, Yes, Democratic

NBC_2017_10_07.txt/AKHTVKAQY4YUS, Male, 28, IL, 0, Yes, Independent

FOX_2017_09_20.txt/A3F7GUAEGUGAW1, Male, 25, IN, 3, Yes, Democratic

FOX_2017_09_20.txt/A2G6ISFMGZWCQN, Male, 30, PA, 0, Yes, Republican

FOX_2017_09_20.txt/A3BJCXAV83TX8O, Male, 38, AK, 7, No, Independent

FOX_2017_09_20.txt/A1E6XBV7FDHI6M, Male, 26, NY, 2, Yes, Democratic

FOX_2017_09_20.txt/A2CP6716BCS8UI, Male, 37, CA, 3, Yes, Independent

FOX_2017_09_21.txt/A3J8BYN2DZ4VJ6, Female, 30, IL, 7, Yes, Independent

FOX_2017_09_21.txt/A1USG4DG6ON0PY, Male, 32, FL, 3, Yes, Independent

FOX_2017_09_21.txt/A2EJLKLPXT8GDI, Male, 41, CA, 5, Yes, Independent

